TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Location,CustomerOccupation,Channel,Target
14.09,70.0,81.0,1.0,5112.21,Debit,San Diego,Doctor,ATM,1
376.24,68.0,141.0,1.0,13758.91,Debit,Houston,Doctor,ATM,0
126.29,19.0,56.0,1.0,1122.35,Debit,Mesa,Student,Online,0
184.5,26.0,25.000000000000004,1.0,8569.06,Debit,Raleigh,Student,Online,1
13.45,44.67844382691544,198.0,1.0,7429.4,Credit,Atlanta,Student,Online,2
92.15,18.0,172.0,1.0,781.68,Debit,Oklahoma City,Student,ATM,1
7.08,37.0,139.0,1.0,13316.71,Credit,Seattle,Doctor,ATM,1
171.42,67.0,291.0,1.0,2796.24,Credit,Indianapolis,Retired,Branch,0
106.23,51.0,86.0,1.0,9095.14,Credit,Detroit,Engineer,Branch,2
815.96,55.0,120.0,1.0,1021.8800000000001,Debit,Nashville,Doctor,ATM,0
17.78,52.0,59.00000000000001,1.0,7599.5199999999995,Credit,Albuquerque,Engineer,Online,2
190.02,21.0,173.0,1.0,1528.81,Debit,Memphis,Student,Online,0
494.52,24.0,111.0,1.0,1620.02,Credit,Mesa,Student,Branch,0
781.76,26.0,123.0,1.0,189.69,Debit,Memphis,Student,ATM,0
166.99,18.0,134.0,1.0,299.93,Debit,Louisville,Student,Online,0
465.45,36.0,129.0,1.0,3465.54,Debit,Denver,Engineer,ATM,2
555.8,19.0,158.0,1.0,1131.26,Credit,Austin,Student,Branch,2
492.93,39.0,234.0,1.0,5109.97,Debit,Columbus,Engineer,Online,2
18.68,59.0,106.0,1.0,7948.369999999999,Credit,Albuquerque,Retired,Branch,2
71.48,18.0,169.0,1.0,6568.59,Credit,Columbus,Student,Online,2
59.32,71.0,37.99999999999999,1.0,5750.89,Debit,Los Angeles,Retired,Branch,0
85.77,38.0,93.0,1.0,9146.19,Debit,Las Vegas,Doctor,Branch,0
52.2,39.0,120.0,1.0,8974.93,Debit,Atlanta,Engineer,Online,2
345.84,22.0,142.0,1.0,1402.5,Debit,Fort Worth,Student,Online,2
